[%Y-%m-%d	%H:%M:%S];[V];[V];[V];[V]
2021-10-03	22:04:10;10.3;10.1;10.2;10.4
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
2021-10-02	22:04:10;10.5;10.5;10.5;10.5
